step,pair_index,weight,a0_real,a0_imag,a1_real,a1_imag,a2_real,a2_imag,closed_term,first_order_sq,second_order_cross,perturbative_open,dropped_order1_cross
0,78,0.0625,0.81306407085285737,0.54790751278644401,-0.012661714774393788,0.022550645358010608,-0.00012569040243003138,-0.00061575651448561889,0.060079739117477979,4.1803164193179214e-05,-5.4946496325095076e-05,0.060066595785346066,0.0002576103314237975
0,79,0.0625,8.6562701451242674e-16,7.5980888247784151e-16,-0.00014276922516771743,-0.0023019555424302583,-0.00037400320470223349,0.00021454832444320359,8.2913729134120225e-32,3.3246139818627339e-07,-2.0091444358973811e-20,3.3246139818625327e-07,-2.3407889579422394e-19
0,80,0.0625,0.0014392319816325582,-0.0016755701925411067,-0.00023920816731400887,-0.0010775400950049114,-0.00039533973246821084,-0.00017028353304828479,3.0493276044288883e-07,7.6144575228307518e-08,-3.5457946790251758e-08,3.456193888809446e-07,1.8265225247401351e-07
0,81,0.0625,2.2442984970449942e-17,-4.8518047218726323e-17,5.2885369116341028e-05,7.2455944338895408e-05,6.2345456325000139e-05,-5.7169574513756428e-05,1.7860553001889997e-34,5.029203835382967e-10,5.2162178187634359e-22,5.0292038353881834e-10,-2.9106442305964931e-22
0,82,0.0625,-0.00093867871264124568,-0.00014142244669538548,-0.00044009008994866031,0.0014616195527347993,0.00072145580680767858,0.00041968688320700932,5.631987712469595e-08,1.4562568776298095e-07,-9.2071044228859837e-08,1.0987452065881707e-07,2.579967322420102e-08
0,83,0.0625,2.7484525072507537e-17,-4.2920853503269907e-17,1.0799053678148138e-05,1.1352629200134115e-05,1.7288664826294346e-05,-1.531781626308218e-05,1.6234992399440323e-34,1.5343859381203911e-11,1.4157806121327772e-22,1.5343859381345488e-11,-2.3807209149935417e-23
0,84,0.0625,0.81306407085284915,0.54790751278643812,0.0097932390991898148,-0.0107623395114071,4.3588236245909313e-05,-0.00039360550253104,0.060079739117476744,1.323346773829341e-05,-2.2527422888430433e-05,0.060070445162326611,0.00025822052192053579
0,85,0.0625,0.024698881135470988,-0.021404147815359931,-0.0078190062751188998,-0.0009467337074807122,0.00059987749798426457,0.003060129608908287,6.6760767065368869e-05,3.8770727402018068e-06,-6.3353954330844333e-06,6.4302444372486245e-05,-2.1607084796245321e-05
0,86,0.0625,0.0014392319816324945,-0.001675570192541088,-0.00022694448220123394,-0.0012254772298595056,-0.00057525473000809096,-0.00018052589079185744,3.0493276044287348e-07,9.7081139931607092e-08,-6.5680150427530792e-08,3.3633374994694979e-07,2.1584342014392109e-07
0,87,0.0625,-0.0015233789493609151,-0.00014466789418945248,-0.00017713404133397077,0.0019479567622937022,0.00084510418221623901,0.00016369549395570544,1.4635076393532348e-07,2.3911950102281666e-07,-1.6388692545049546e-07,2.2158333950764468e-07,-1.4955666237170524e-09
0,88,0.0625,-0.00093867871264126206,-0.00014142244669538526,-0.00040515721328012496,0.001476347836180592,0.00073684333227732343,0.00036382832564243897,5.6319877124697889e-08,1.4648470630425201e-07,-9.2889080318726843e-08,1.0991550311022305e-07,2.1440466026626472e-08
0,89,0.0625,-0.0003338743333752088,6.7188798011952073e-05,2.9264904645811925e-05,0.00064077737657633905,0.00038323255595470361,7.4261711639657304e-05,7.2491503165644341e-09,2.5715755060998993e-08,-1.5370244875459412e-08,1.7594660502104012e-08,4.1602826494383357e-09
0,90,0.0625,0.81306407085285204,0.54790751278644234,-0.0030017712448410809,0.0082133166391305905,-0.00032206398665460658,-0.00012954392525709845,0.060079739117477327,4.779325051310887e-06,-4.160459324358783e-05,0.060042913849285048,0.00025743819292175265
0,91,0.0625,1.1394964832822652e-16,1.0007186052041206e-16,1.4029576111962427e-16,-2.8557885223268187e-16,-9.2374025095764978e-17,-4.401860820291148e-17,1.4374312263839565e-33,6.327386339416914e-33,-1.8663764618387017e-33,5.8984411039621686e-33,-1.5739693033357806e-33
0,92,0.0625,0.0014392319816324511,-0.0016755701925411175,-0.00013604956829148235,-0.00091311686295165442,-0.00032537146895204481,-0.0002197952150072742,3.0493276044287178e-07,5.3268243152435562e-08,-1.2500339162144782e-08,3.457006644331626e-07,1.667730635120069e-07
0,93,0.0625,2.0057740190981832e-17,-5.3125906451789717e-18,-2.8189256484623115e-18,-2.4936649967166602e-17,-1.0869126779167182e-17,-2.9815559743351372e-19,2.6908535058260689e-35,3.9361428337284297e-35,-2.7053267800205683e-35,3.9216695595339303e-35,9.4921168828899716e-36
0,94,0.0625,-0.0009386787126412176,-0.00014142244669539144,-0.00043543788673384672,0.0014304081859334854,0.00067482170204710072,0.000402901128184702,5.6319877124692774e-08,1.3972960822429766e-07,-8.6302503733017746e-08,1.0974698161597269e-07,2.5805556190838707e-08
0,95,0.0625,4.0657581468206416e-18,1.1600963245594897e-17,2.1792463666958639e-17,-6.2883726004159257e-18,-2.3174821436877657e-18,-1.2427667402115095e-17,9.4445460958801295e-36,3.2153443914835878e-35,-1.9199404333278117e-35,2.2398585677437888e-35,1.9564634101498448e-36
1,0,0.0625,0.73572388833441082,0.67430429172862194,0.017644178306946874,-0.016606923085805025,-0.00049416078940001877,-0.00087891377354429355,0.062248494856846436,3.6694182656573661e-05,-0.00011952765337501237,0.062165661386127995,0.00022289049516089479
1,1,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,2,0.0625,0.0020795903428905277,0.00073389784623784072,0.0022524642504725724,-0.0024118799665412455,-0.0015305857117038663,-0.00097768533687808863,3.0395637768475527e-07,6.8067251079124791e-07,-4.8756405350734155e-07,4.9706483496866158e-07,3.6426617377001209e-07
1,3,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,4,0.0625,-0.001698796611287448,-0.00071679224911925165,-0.0012289495072157135,0.0028422382468429978,0.0016718972905549519,0.00066054488314543601,2.12481315932447e-07,5.9928969644393147e-07,-4.1421086300618107e-07,3.9756014937019737e-07,6.3051141017602553e-09
1,5,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,6,0.0625,0.7357238883344126,0.67430429172862394,-0.0038687101932553961,0.0067905531845533253,0.00016995239795847234,-0.00037514859549874798,0.062248494856846769,3.8174081944778443e-06,-1.5990783615375819e-05,0.062236321481425869,0.00021657458116686813
1,7,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,8,0.0625,0.0020795903428905025,0.0007338978462377954,0.0022180791150982412,-0.0028053962261962505,-0.0016370315010871982,-0.00094724377612083639,3.0395637768474463e-07,7.9938268417444749e-07,-5.1244188347821485e-07,5.9089717838097727e-07,3.1922770740954337e-07
1,9,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,10,0.0625,-0.0016987966112874337,-0.00071679224911924645,-0.0010868919336217029,0.0027651890531172263,0.0015325515037901967,0.00046644221902058711,2.124813159324435e-07,5.517252859282043e-07,-3.6722943356477319e-07,3.9697716829587459e-07,-1.6957218368952577e-08
1,11,0.0625,0,0,0,0,0,0,0,0,0,0,0
1,12,0.0625,0.73572388833441149,0.67430429172862283,0.0068877340568457377,-0.0049081849506258466,-0.00016210419572077291,-0.00062703118452152058,0.062248494856846588,4.4706974967114184e-06,-6.7759218495194105e-05,0.062185206335848106,0.00021973253816388121
1,13,0.0625,0.0063748192436645246,-0.031695476271987273,-0.016096612763973953,0.020229629019796129,0.0062286503975896353,0.0044610627469319295,6.5327596031093994e-05,4.1771177046994182e-05,-1.2711123503326781e-05,9.4387649574761387e-05,-9.2975090424206314e-05
1,14,0.0625,0.0020795903428905095,0.0007338978462378147,0.0022352716827854047,-0.0026086380963687432,-0.0015838086063955307,-0.0009624645564994623,3.0395637768474807e-07,7.3758951335553955e-07,-5.0000296849277629e-07,5.4154292254751138e-07,3.4174694058977656e-07
1,15,0.0625,-0.003120412644299853,-0.00098605309162258471,-0.0007719666042558782,0.00427925626490028,0.0020912242077883933,4.9880207615566208e-05,6.6932973563780349e-07,1.1817479136734157e-06,-8.218333741223689e-07,1.0292442751888503e-06,-2.263399396191216e-07
1,16,0.0625,-0.0016987966112874398,-0.00071679224911924894,-0.001157920720418708,0.0028037136499801099,0.0016022243971725732,0.00056349355108301145,2.1248131593244504e-07,5.7509941411623558e-07,-3.9072014828547657e-07,3.9686058176320407e-07,-5.3260521335961896e-09
1,17,0.0625,-0.00059425285288834976,-5.590477459588842e-05,-0.0001442526307806522,0.0011088813879045925,0.000674262905482893,8.5277936344335323e-05,2.2266362311784985e-08,7.8151672120522146e-08,-5.0681262373666182e-08,4.9736772058640942e-08,2.9663466667087741e-09
1,18,0.0625,0.73572388833441138,0.67430429172862283,0.0068877340568457377,-0.0049081849506258483,-0.00016210419572077291,-0.00062703118452152058,0.06224849485684656,4.4706974967114201e-06,-6.7759218495194105e-05,0.062185206335848078,0.00021973253816388093
1,19,0.0625,-5.2041704279304213e-16,4.4408920985006262e-16,-0.00031066040796966579,0.001948730231811668,0.00024631863870316168,-0.0001057754795517475,2.925307029591925e-32,2.4337871284103975e-07,-2.1895270834294273e-20,2.4337871284101783e-07,1.2838537996057832e-19
